71718.00,11953.00,35859.00
6342.00,1057.00,3171.00
1152.00,192.00,576.00
5565.00,927.50,2782.50
2862.00,477.00,1431.00
1791.00,298.50,895.50
1170.00,195.00,585.00
1383.00,230.50,691.50
7710.00,1285.00,3855.00
1473.00,245.50,736.50
5784.00,964.00,2892.00
2169.00,361.50,1084.50
5961.00,993.50,2980.50
3993.00,665.50,1996.50
735.00,122.50,367.50
891.00,148.50,445.50
6180.00,1030.00,3090.00
3129.00,521.50,1564.50
2106.00,351.00,1053.00
6834.00,1139.00,3417.00
351.00,58.50,175.50
954.00,159.00,477.00
1608.00,268.00,804.00
5502.00,917.00,2751.00
4398.00,733.00,2199.00
